,geo,text,user,location,entities,sentiment,country
212,, #Socialism is evil until #WallStreet needs a bailout from the #FederalReserve.#FederalReserveBank #Finance #Coronaviru…,kcin6390,,"[('WallStreet', 'ORG'), '']","{'neg': 0.367, 'neu': 0.633, 'pos': 0.0, 'compound': -0.7003}",
213,, The media are the opposite of helpful when trying to gauge an appropriate response to #coronavirus. They don’t have anything u…,DiamondDuke3,,[''],"{'neg': 0.0, 'neu': 0.877, 'pos': 0.123, 'compound': 0.4215}",
214,, You Got #Coronavirus  ,SupaaFlyChris,,[],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",
215,, 🚨#BREAKING: San Francisco Public Schools will close due to #coronavirus for 3 weeks starting 3/16.As a #SFUSD parent I expe…,LindaBernfeld,"Miami, FL","[('BREAKING', 'ORG'), ('San Francisco Public', 'GPE'), '', ('3 weeks', 'DATE'), ('3/16.As', 'DATE'), '']","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",USA
216,, It's not just a question of whether you get sick.  More important is eliminating the chance that you end up being a one…,Celia3D,London ,[],"{'neg': 0.13, 'neu': 0.709, 'pos': 0.161, 'compound': -0.0534}",UK
217,, I ordered Alex Jones to immediately stop selling &amp; marketing products as a treatment or cure for #coronavirus on his we…,clauvolleyball1,,"[('Alex Jones', 'PERSON'), '']","{'neg': 0.109, 'neu': 0.891, 'pos': 0.0, 'compound': -0.296}",
218,,Screencap this.What's the over/under of a world leader dying from #coronavirus?In spite of their access to the… ,718Tv,718,[''],"{'neg': 0.185, 'neu': 0.815, 'pos': 0.0, 'compound': -0.5267}",USA
219,," #Coronavirus update:  extends spring break 1 week, suspends face-to-face classes for the rest of spring semest…",_kately1,the ohio state university,"[('spring', 'DATE'), ('1 week', 'DATE')]","{'neg': 0.0, 'neu': 0.903, 'pos': 0.097, 'compound': 0.128}",USA
220,, Our friends at  have written a comprehensive blog post about what older adults need to know about #coronavirus. Ch…,bb60voices,soon...,[],"{'neg': 0.0, 'neu': 0.758, 'pos': 0.242, 'compound': 0.6249}",USA
221,," New deadly #coronavirus not infectious enough to pose global threat, researchers say ",WagnerSBranco,Curitiba,[''],"{'neg': 0.236, 'neu': 0.764, 'pos': 0.0, 'compound': -0.5267}",Brazil
222,, Pelosi: “We have to put American families first!”Than she attaches democrat PORK programs to vitally needed #coronavirus legi…,LauraGowens2,United States,"[('American', 'NORP'), ('democrat', 'NORP'), '']","{'neg': 0.0, 'neu': 0.877, 'pos': 0.123, 'compound': 0.3382}",United States
223,, I ordered Alex Jones to immediately stop selling &amp; marketing products as a treatment or cure for #coronavirus on his we…,Anniewhatever,,"[('Alex Jones', 'PERSON'), '']","{'neg': 0.109, 'neu': 0.891, 'pos': 0.0, 'compound': -0.296}",
224,," If you haven't watched  's speech today on how we should respond to #coronavirus, take a few minutes to do so. It i…",cherthedream,,"[('today', 'DATE'), '', ('a few minutes', 'TIME')]","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",
225,, Walt Disney Company closing Disneyland park in California due to #coronavirus; company will pay cast members during the sh…,dieb1948,"Michigan, USA","[('Walt Disney Company', 'ORG'), ('Disneyland', 'GPE'), ('California', 'GPE'), '']","{'neg': 0.072, 'neu': 0.928, 'pos': 0.0, 'compound': -0.1027}",USA
226,,"Because #coronavirus , no more passing of weed till further notice 😂😂😂 Roll your own shid and finish it#Covid_19… ",999Trillion,S.B CITY,[''],"{'neg': 0.115, 'neu': 0.885, 'pos': 0.0, 'compound': -0.296}",USA
227,,Keep in mind that banning gatherings over 250 people means that #FoodBanks and #SoupKitchens are now illegal in CA.… ,CSoloy,"Charlotte, NC","[('250', 'CARDINAL'), ('FoodBanks', 'ORG'), ('SoupKitchens', 'ORG')]","{'neg': 0.167, 'neu': 0.833, 'pos': 0.0, 'compound': -0.5574}",USA
228,,This is a very concerning and uncertain time. This is a fluid situation and the facts are changing hourly. We will… ,baskingntheGlow,New York City,"[('hourly', 'TIME')]","{'neg': 0.12, 'neu': 0.88, 'pos': 0.0, 'compound': -0.3535}",USA
229,," There’s a public health crisis in our country.We will not stop fighting for access to free testing, paid emergency leave,…",MarlattRichard,,[],"{'neg': 0.239, 'neu': 0.5, 'pos': 0.261, 'compound': -0.1032}",
230,," ‘When hardship befalls people,they supplicate their Lord,turning to Him in penitence. Then,when He lets them taste His mercy,…",lamaberrou,,[],"{'neg': 0.119, 'neu': 0.881, 'pos': 0.0, 'compound': -0.3182}",
231,,"A thought: If companies want to help negate the possibility of mass panic about #coronavirus , how's about you do… ",johnzie34,,[],"{'neg': 0.148, 'neu': 0.673, 'pos': 0.179, 'compound': -0.0772}",
232,," Ayatollah Tabrizian, a prominent clergyman &amp; a self-proclaimed expert in “Islamic medicine”, has published the following…",lordofseo,"International waters. SEO Search Engine Land UK SEO, CANADA SEO US SEO SEO FATHER","[('&amp', 'ORG'), ('Islamic', 'NORP')]","{'neg': 0.0, 'neu': 0.85, 'pos': 0.15, 'compound': 0.3182}",Error
233,, JUST IN: Nancy  announces vote on “Families First” #coronavirus response bill with free testing for all.…,Jenorozco79,,"[('Nancy  ', 'PERSON'), '']","{'neg': 0.0, 'neu': 0.82, 'pos': 0.18, 'compound': 0.5106}",
234,," #SanDiego County Supervisor  announced an advisory for ""all senior citizens age 65 or older to cancel nonessentia…",robbrownvegas,Las Vegas / San Diego,"[('age 65 or older', 'DATE')]","{'neg': 0.111, 'neu': 0.889, 'pos': 0.0, 'compound': -0.25}",USA
235,, We have now updated the #coronavirus story at the WhiskyCast web site to include additional visitors center/tour closings a…,Whiskyraj,Earth or the vicinity of,"['', ('WhiskyCast', 'ORG')]","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Error
236,," New deadly #coronavirus not infectious enough to pose global threat, researchers say ",_Riyad100,LDN x Essex ,[''],"{'neg': 0.236, 'neu': 0.764, 'pos': 0.0, 'compound': -0.5267}",Error
237,, Trump is now doing to America what he did to me and 20 other women. #Coronavirus  #CoronavirusPandemic,SherrieCanTweet,,"[('Trump', 'ORG'), ('America', 'GPE'), ('20', 'CARDINAL'), ('CoronavirusPandemic', 'ORG')]","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",
238,,I’m reposting this thread translated into English by Dr. on front lines of #coronavirus it’s truly A MUST READ to u… ,Veronicaromm,"New Jersey, USA","[('English', 'LANGUAGE'), '', ('A MUST READ', 'WORK_OF_ART')]","{'neg': 0.0, 'neu': 0.868, 'pos': 0.132, 'compound': 0.4404}",USA
239,," New deadly #coronavirus not infectious enough to pose global threat, researchers say ",harryutg,,[''],"{'neg': 0.236, 'neu': 0.764, 'pos': 0.0, 'compound': -0.5267}",
240,, Given that children and young adults are least at risk from #coronavirus I don’t understand the logic of closing school…,LESLIEBENN1,,[''],"{'neg': 0.104, 'neu': 0.896, 'pos': 0.0, 'compound': -0.2732}",
241,," JUST IN: An American Airlines pilot has tested positive for #coronavirus, according to the airline and a second source fami…",ungubunugu1274,timbuktu,"[('American Airlines', 'ORG'), '', ('second', 'ORDINAL')]","{'neg': 0.0, 'neu': 0.833, 'pos': 0.167, 'compound': 0.5574}",Mali
242,, Shout out to all the POC and immigrant custodians and workers out there sanitizing and cleaning during #coronavirus—I know…,sandalsmom,🌹@takorolling,"[('Shout', 'PERSON'), '']","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Error
243,," New deadly #coronavirus not infectious enough to pose global threat, researchers say ",TheBusayor,Um die Welt 🌏,[''],"{'neg': 0.236, 'neu': 0.764, 'pos': 0.0, 'compound': -0.5267}",Error
244,, 3 of the Maryland #coronavirus patients have fully recovered ,Lord_rene7,,"[('3', 'CARDINAL'), ('Maryland', 'GPE'), '']","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",
245,," Ya think⁉️South Korea, population 51 million, is testing more than 20,000  individuals a day.Texas, population 28 million,…",csloball,O-H I-O  retweets are not endorsements,"[('Korea', 'GPE'), ('51 million', 'CARDINAL'), ('more than 20,000', 'CARDINAL'), ('Texas', 'GPE'), ('28 million', 'CARDINAL')]","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",USA
246,," Ohio estimates it has more than 100,000 infected with #coronavirus ",bnme13isaac,USA🇺🇸,"[('Ohio', 'GPE'), ('more than 100,000', 'CARDINAL'), '']","{'neg': 0.278, 'neu': 0.722, 'pos': 0.0, 'compound': -0.5367}",Error
247,," Mikel Arteta: ""This is really disappointing but I took the test after feeling poorly. I will be at work as soon as I’m…",OAlmasri,,[],"{'neg': 0.098, 'neu': 0.826, 'pos': 0.076, 'compound': -0.1272}",
248,,#Coronavirus is overrated ,Joe_Shema,,[],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",
249,, Some of you have never spent 2 weeks indoors for a game launch and it shows. #coronavirus,hiker_miker,"Lakewood, CO","[('2 weeks', 'DATE'), '']","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",USA
250,,"  The Republican Governor for Ohio Mike DeWine just confirmed that only 1,000 tests are available to 11.69 Mil…",CoronaVirusCall,North America,"[('Republican', 'NORP'), ('Ohio', 'GPE'), ('Mike DeWine', 'PERSON'), ('only 1,000', 'CARDINAL'), ('11.69', 'CARDINAL')]","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",North America
251,," In response to COVID-19, Japan is going to start paying parents $80 a day to stay home from work and take care of their…",hystericaldyke,she/her // pdx,"[('COVID-19', 'GPE'), ('Japan', 'GPE'), ('80', 'MONEY')]","{'neg': 0.0, 'neu': 0.873, 'pos': 0.127, 'compound': 0.4939}",USA
252,, Wash your hands.Wash your hands frequently.Use soap and water.#Coronavirus #COVID19MORE on #Verdict --&gt; …,Karla380W1990,"Kent, Wa","['', '']","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",USA
253,," Children burn shoes to heat water outside Mohammad Shehab Camp, an informal Syrian refugee settlement in the Bekaa Valley, Leb…",Schrader_Adam,"Manhattan, NY","[('Mohammad Shehab Camp', 'FAC'), ('Syrian', 'NORP'), ('the Bekaa Valley', 'LOC'), ('Leb', 'PERSON')]","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",USA
254,," As sales of disposable mask sales surges amid the #coronavirus outbreak, single-use face masks are washing up on Hong Kong's b…",mrpropertyplug,"Lakeland Heights, TX","['', (""Hong Kong's"", 'GPE')]","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",USA
255,," As a human race we will all get through this! We just have to band together as a community, country, continent, world, as…",KingDaddyDom13,,[],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",
256,,Watch 's broadcast: A friend in Italy reporting on what Coronavius does - STOP listening to the U.K govt.… ,AliveInHistory,USA ΔΣΘ 🔺🐘🔺#JTribe #JanFam,"[('Watch', 'ORG'), ('Italy', 'GPE'), ('Coronavius', 'PERSON'), ('U.K', 'GPE')]","{'neg': 0.139, 'neu': 0.71, 'pos': 0.151, 'compound': 0.0688}",Error
257,, More people died in the city of Chicago over the weekend (due to some dem’s corruption &amp; addiction to power over people) th…,JCT5555,,"[('Chicago', 'GPE'), ('the weekend', 'DATE')]","{'neg': 0.15, 'neu': 0.85, 'pos': 0.0, 'compound': -0.5965}",
258,,"They're canceling events everywhere, closing businesses, schools, churches, limiting gatherings of less than 250 pe… ",DJTwinSpin,San Francisco,"[('less than 250', 'CARDINAL')]","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",USA
259,," New deadly #coronavirus not infectious enough to pose global threat, researchers say ",TorqueyLunatico,Not outer space,[''],"{'neg': 0.236, 'neu': 0.764, 'pos': 0.0, 'compound': -0.5267}",United States
260,, Boy sent home from school after being caught charging kids to use hand sanitiser #coronavirus …,CoochieLover24,,[''],"{'neg': 0.0, 'neu': 0.814, 'pos': 0.186, 'compound': 0.4939}",
261,,Too early ...?  #ClimateEmergency #ClimateChange #coronavirus #CoronaVirusUpdate #ClimateChangeIsReal… ,HJeppesen,"New York, NY",[''],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",USA
262,," The son in law who did not solve the opioid crisis, nor bring peace to the Mideast, and is in charge of the “wall” project n…",MaryKeithBare1,Ohio,"[('Mideast', 'LOC')]","{'neg': 0.271, 'neu': 0.729, 'pos': 0.0, 'compound': -0.8197}",USA
263,, I ordered Alex Jones to immediately stop selling &amp; marketing products as a treatment or cure for #coronavirus on his we…,jonathangarcia,"Orlando, FL","[('Alex Jones', 'PERSON'), '']","{'neg': 0.109, 'neu': 0.891, 'pos': 0.0, 'compound': -0.296}",USA
264,, What to expect from #COVID19 quarantine in #Ethiopia: a thread. I was hospitalised for 3 days in the National…,mebre22,,"[('COVID19', 'MONEY'), '', ('Ethiopia', 'GPE'), ('3 days', 'DATE')]","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",
265,, For anyone careering around the supermarkets with heaped trolleys please think of people depending on welfare or who have li…,maryjolley10,,[],"{'neg': 0.0, 'neu': 0.892, 'pos': 0.108, 'compound': 0.3182}",
266,," Mikel Arteta: ""This is really disappointing but I took the test after feeling poorly. I will be at work as soon as I’m…",chris_nduti,,[],"{'neg': 0.098, 'neu': 0.826, 'pos': 0.076, 'compound': -0.1272}",
267,," What did I tell ya?Like flies, they are dropping. #Coronavirus is being used as part of their ""deal"" to cooperate wi…",QQQAnon513,OH,[],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",USA
268,, #COVID19 impact on #education so far:⛔️376.9 million students out of school worldwide.➡️26 countries have ordered nationwid…,angieram06,,"[('COVID19', 'MONEY'), '', ('million', 'CARDINAL')]","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",
269,, What a lousy day for USA but we now have a real win- watch  get CDC to say “yes” to covering all #CoronaVi…,kissy_jean,"Elk Grove, CA","[('USA', 'GPE'), ('CDC', 'ORG')]","{'neg': 0.085, 'neu': 0.718, 'pos': 0.197, 'compound': 0.6059}",USA
270,, Beware of 'Coronavirus Maps' !!!Are you tracking the outbreak or leading hackers directly into your computers?Cyber…,imsrkrishna,"Hyderabad, India",[],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",India
271,, If the #coronavirus has taught us anything it is the lengths people will go to when desperate. Next time you want to judge bo…,thecerealquest,Alderholt,[''],"{'neg': 0.09, 'neu': 0.859, 'pos': 0.051, 'compound': -0.25}",UK
272,, 1/ The largest public health lab in Texas is able to conduct a maximum of just 26 coronavirus tests per day. Texas is a…,AthenaSidiropo2,---,"[('Texas', 'GPE'), ('26', 'CARDINAL'), ('Texas', 'GPE')]","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Error
273,," Wearing a mask, Brazil President Bolsonaro says he expects #coronavirus test result in hours: ",BrynasSmile,"San Antonio, TX","[('Brazil', 'GPE'), ('Bolsonaro', 'PERSON'), '', ('hours', 'TIME')]","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",USA
274,, 'Many more families are going to lose loved ones.'- Johnson.People who voted for Boris are now dying due to his ina…,twilouhom,"London, England","[('Johnson', 'PERSON'), ('Boris', 'PERSON')]","{'neg': 0.105, 'neu': 0.742, 'pos': 0.152, 'compound': 0.296}",UK
275,,"  The Republican Governor for Ohio Mike DeWine just confirmed that only 1,000 tests are available to 11.69 Mil…",GenetBataiile,"New Hampshire, USA","[('Republican', 'NORP'), ('Ohio', 'GPE'), ('Mike DeWine', 'PERSON'), ('only 1,000', 'CARDINAL'), ('11.69', 'CARDINAL')]","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",USA
276,," Deserted #Rome: late afternoon view of the normally bustling #TreviFountain, #SpanishSteps &amp; #PiazzaNavona - cleared by #cor…",ColettaFrank,Sydney NSW Australia,"[('Rome', 'GPE'), ('late afternoon', 'TIME'), '', ('SpanishSteps &amp', 'ORG'), '', ('PiazzaNavona', 'ORG'), '']","{'neg': 0.0, 'neu': 0.915, 'pos': 0.085, 'compound': 0.1027}",Australia
277,," France will, from next week, close all nurseries, schools and universities to try to curb the spread of #coronavirus, Presiden…",linanlovelife,"London, England","[('France', 'GPE'), ('next week', 'DATE'), '']","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",UK
278,,Arsenal vs Brighton Premier league match slated for Saturday has been postponed after Mikel Arteta tested positive… ,metrotvgh,"Greater Accra, Ghana","[('Brighton Premier', 'ORG'), ('Saturday', 'DATE'), ('Mikel Arteta', 'ORG')]","{'neg': 0.101, 'neu': 0.899, 'pos': 0.0, 'compound': -0.2023}",Ghana
279,," You know what hasn't been canceled due to #coronavirus? ICE raids. Yup, they are still in the streets putting people in d…",painting_tlc,"Denver, CO","['', ('ICE', 'ORG')]","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",USA
280,,There you. That’s why we don’t have enough tests. #MonsterTrump #Coronavirus ,honespotus16,"Hodgenville, KY",[''],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",USA
281,, What a lousy day for USA but we now have a real win- watch  get CDC to say “yes” to covering all #CoronaVi…,mvwinall,East Coast,"[('USA', 'GPE'), ('CDC', 'ORG')]","{'neg': 0.085, 'neu': 0.718, 'pos': 0.197, 'compound': 0.6059}",United States
282,," Don't you see: The photo to the right shows a Thunder storm; while the #Coronavirus drama is happening, arrests are happening…",PattiClaxton,Washington ,[''],"{'neg': 0.132, 'neu': 0.868, 'pos': 0.0, 'compound': -0.4404}",USA
283,, I ordered Alex Jones to immediately stop selling &amp; marketing products as a treatment or cure for #coronavirus on his we…,vodblu,"California, USA","[('Alex Jones', 'PERSON'), '']","{'neg': 0.109, 'neu': 0.891, 'pos': 0.0, 'compound': -0.296}",USA
284,,Last beer tonight with my friends as work moves toward social distancing protocols and implements a total work from… ,organictech551,Northern hemisphere,"[('tonight', 'TIME')]","{'neg': 0.0, 'neu': 0.846, 'pos': 0.154, 'compound': 0.4767}",USA
285,, A question for you Boris Johnson as you didn't answer on TV How old is old to you? Fed up with the lies. Don't leave yo…,GlynnAtkinson1,"North East, England","[('Boris Johnson', 'PERSON'), ('Fed', 'ORG')]","{'neg': 0.104, 'neu': 0.853, 'pos': 0.043, 'compound': -0.3923}",Error
286,,I just got tested positive for the coronavirus 🤒Scariest shit in my life bruh #help #coronavirus… ,KesonnYT,Tilted Towers🧩,"[('🤒Scariest', 'LOC')]","{'neg': 0.178, 'neu': 0.644, 'pos': 0.178, 'compound': 0.0}",Error
287,," #coronavirus USA 6:37 pm March 12, 2020Total cases: 1686Total deaths: 40 ",stablegeniusinc,,"['', ('March 12', 'DATE'), ('1686Total', 'CARDINAL'), ('40', 'CARDINAL')]","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",
288,,"Now that some are taking it seriously, #Covid_19 is the proper nomenclature; #coronavirus conjures up misleading im… ",ijiLaw,"Los Angeles, CA","[('Covid_19', 'MONEY'), '']","{'neg': 0.227, 'neu': 0.773, 'pos': 0.0, 'compound': -0.5267}",USA
289,,Are we sure March Madness is cancelled? Seems like it’s in full effect to me. #coronavirus #Covid_19 #MarchMadness,MaxFinnance,(Mostly) CT,"[('March Madness', 'ORG'), '']","{'neg': 0.207, 'neu': 0.591, 'pos': 0.203, 'compound': -0.0258}",USA
290,, More people died in the city of Chicago over the weekend (due to some dem’s corruption &amp; addiction to power over people) th…,spkerr333,At my assigned position.,"[('Chicago', 'GPE'), ('the weekend', 'DATE')]","{'neg': 0.15, 'neu': 0.85, 'pos': 0.0, 'compound': -0.5965}",Error
291,," The last patient in Wuhan has been dispatched, all temporary hospitals have been closed, life is going back to normal! #Co…",hafezfirdaus,,"[('Wuhan', 'GPE')]","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",
292,," Italy, today.I can’t believe my eyes.#CoronaVirusUpdate #COVID19 #coronavirus ",Soothe888,"Rome, Italy ~ Shanghai, China","[('Italy', 'GPE'), ('today', 'DATE'), '']","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Italy
293,, The Tigard-Tualatin School District Board of Directors has called an emergency meeting for 5pm. We’re told this has to d…,MitchFrom503,"Oregon, USA","[('5pm', 'QUANTITY')]","{'neg': 0.12, 'neu': 0.88, 'pos': 0.0, 'compound': -0.3818}",USA
294,, Lewis Hamilton taking a decisive public stance in calling out the F1 bosses by saying Sunday’s Australian GP shouldn’t be go…,WaterWolfAlex,California,"[('Lewis Hamilton', 'PERSON'), ('Sunday', 'DATE'), ('Australian GP', 'ORG')]","{'neg': 0.0, 'neu': 0.909, 'pos': 0.091, 'compound': 0.2263}",USA
295,, The best way to prevent the spread of #COVID19 and other respiratory infections is to wash your hands often with soap and…,NCaDaPi,I'm right here,"[('COVID19', 'MONEY')]","{'neg': 0.0, 'neu': 0.791, 'pos': 0.209, 'compound': 0.6486}",Error
296,," BREAKING Italian medical chief, Roberto Stella, 67, dies from #coronavirus due to respiratory failure#COVID19  https:…",Mick11113,,"[('Italian', 'NORP'), ('Roberto Stella', 'PERSON'), ('67', 'DATE'), '']","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",
297,," 🚨 BREAKING 🚨""We have therefore made the assessment that #COVID19 can be characterized as a pandemic""- #coronavirus http…",GaddadVinay,Bangalore,"[('COVID19', 'MONEY')]","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",India
298,, Every Senator and Representative has #PaidSickLeave.  They must vote for the #FamiliesFirst #CoronaVirus Response Act so the…,Wandacalabrese1,,"[('Representative', 'ORG'), '', '']","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",
299,, UK Government are exposing more people to getting infected with COVID19 by delaying lockdowns (Lockdowns that WILL be…,nashvrem,,"[('COVID19', 'PERSON')]","{'neg': 0.249, 'neu': 0.751, 'pos': 0.0, 'compound': -0.6486}",
300,,Why are so many people dying of #Covid_19 in Italy? Very high rates. Police in Italy are patrolling streets with dr… ,Johnnybowe_,,"['', ('Italy', 'GPE'), ('Italy', 'GPE')]","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",
301,, Why the heck is #Biden2020 speaking on the #coronavirus IN AN EFFORT TO BASH ?Democrats &amp; #Biden spew hatred &amp; divisiv…,OneCauseATATime,Ca,"['', ('BASH', 'ORG'), ('Democrats &amp', 'ORG'), ('Biden', 'MONEY')]","{'neg': 0.174, 'neu': 0.826, 'pos': 0.0, 'compound': -0.6369}",USA
302,," Mikel Arteta: ""This is really disappointing but I took the test after feeling poorly. I will be at work as soon as I’m…",yurichandraa,Jakarta,[],"{'neg': 0.098, 'neu': 0.826, 'pos': 0.076, 'compound': -0.1272}",Indonesia
303,, #PopeFrancis prays for governments and civil authorities as they seek to deal with the #coronavirus pandemic. #Mass #Homil…,bluebirdtrini,Garden of my thoughts 24/7 = Dangerous,"['', ('PopeFrancis', 'ORG'), '', '']","{'neg': 0.0, 'neu': 0.876, 'pos': 0.124, 'compound': 0.34}",Error
304,, everything’s cancelled and i’m bored af so here’s a few of my songs with a #coronavirus rewrite. a thread..,_tifffaaanny_,"Covington, GA","[('’s', 'ORG'), '']","{'neg': 0.227, 'neu': 0.773, 'pos': 0.0, 'compound': -0.4767}",USA
305,, Tom Hanks' son Chet gave an update on his parent’s condition after they tested positive for #CoronaVirus. More: …,IvLincoln,,"[(""Tom Hanks'"", 'PERSON'), '', ('CoronaVirus', 'ORG')]","{'neg': 0.0, 'neu': 0.825, 'pos': 0.175, 'compound': 0.5574}",
306,," If you think you may have been exposed to the #coronavirus, please call your health care provider FIRST before showing…",ghcsupclerk19,,[''],"{'neg': 0.055, 'neu': 0.714, 'pos': 0.231, 'compound': 0.6369}",
307,, Did i just hear that correctly.??Pelosi has Abortion Funding in this Bill.??#CoronavirusPandemic #coronavirus,flatfeetaxsvc,San Diego | Los Angeles | USA,"[('Abortion Funding', 'ORG')]","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",USA
308,," Call it a hunch but I'm guessing a ""man"" who has unprotected sex with a porn star doesn't wash his hands regularly or c…",johnboston76,"Boston, MA",[],"{'neg': 0.14, 'neu': 0.86, 'pos': 0.0, 'compound': -0.5023}",USA
309,, Liberals are being majestically lame. It's not racist to call it like it is. The #Coronavirus. 🦠 #MadeInChina https:…,Dani06548474,,"[('Coronavirus', 'MONEY')]","{'neg': 0.119, 'neu': 0.638, 'pos': 0.243, 'compound': 0.4442}",
310,, #Coronavirus testing must be made free to the public if we are going to understand the scope of this crisis. Anything le…,bwadre,"Atlanta, GA",[],"{'neg': 0.173, 'neu': 0.71, 'pos': 0.117, 'compound': -0.3767}",USA
311,, Streets in Milan and Venice were nearly deserted as Italy added new restrictions to a lockdown imposed to fight #coronavirus h…,Chlumani,,"[('Milan', 'GPE'), ('Venice', 'GPE'), ('Italy', 'GPE'), '']","{'neg': 0.178, 'neu': 0.822, 'pos': 0.0, 'compound': -0.4404}",
312,, What a lousy day for USA but we now have a real win- watch  get CDC to say “yes” to covering all #CoronaVi…,MicheleDiane8,United States,"[('USA', 'GPE'), ('CDC', 'ORG')]","{'neg': 0.085, 'neu': 0.718, 'pos': 0.197, 'compound': 0.6059}",United States
313,, Insensitive and inhumane #Princewilliam  #Coronavirus ,omghwddgthr,Planet Earth,"['', ('Princewilliam', 'ORG')]","{'neg': 0.322, 'neu': 0.678, 'pos': 0.0, 'compound': -0.2263}",USA
314,," . said: The bad thing is that   didn’t talk to Republicans or the president about it, and they’re…",AlfordJp,,"[('Republicans', 'NORP')]","{'neg': 0.179, 'neu': 0.821, 'pos': 0.0, 'compound': -0.5423}",
315,, still has no program in place at JFK for intl arrivals!! What abt other airports around the US?!?!  Total… ,NoplaceReally,Ha-shikkuts Meshomem,"[('JFK', 'ORG'), ('US', 'GPE')]","{'neg': 0.172, 'neu': 0.828, 'pos': 0.0, 'compound': -0.5759}",Error
316,," Take the time to watch this, get smart. I'll value the word of a renowned medical professional over reporters who know…",donnadoll38,"Wickliffe, OH",[],"{'neg': 0.0, 'neu': 0.779, 'pos': 0.221, 'compound': 0.6249}",USA
317,, here's a brief guide i made about #coronavirus. it covers:- how to protect yourself- symptoms- risk factors- #flatte…,jay_notjay,"Cebu, Philippines","[('about #', 'CARDINAL')]","{'neg': 0.112, 'neu': 0.749, 'pos': 0.139, 'compound': 0.128}",Philippines
318,,Contagion the Drinking game! Grab a Corona and the 2011 film and get your paranoia about Coronavirus amped up!… ,HumanEchoes,,"[('Corona', 'GPE'), ('2011', 'DATE'), ('Coronavirus', 'GPE')]","{'neg': 0.259, 'neu': 0.741, 'pos': 0.0, 'compound': -0.6792}",
319,," Covid-19 interactive map (using R with shiny, leaflet and dplyr): #CoronavirusPandemic #CoronaOut…",_RMlg,"Málaga, España",[''],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Spain
320,, WTH? Pelosi trys to take credit for President  &amp; 's proposal on March 9th for paid leave &amp; free #coro…,MrASTM,,"[('March 9th', 'DATE'), ('&amp', 'ORG'), '']","{'neg': 0.196, 'neu': 0.588, 'pos': 0.217, 'compound': 0.1449}",
